Country,Pollution,Population Density,GDP per Capita,Food Insecurity,"Travel (Arrival, Tourism)",Health Access,Cases,Recovered,Deaths,Literacy Rate
Afghanistan,46.0870936659706,62.2155405301811,415.707417059086,80.9,10000.0,41.0,235214.0,227216.0,7998.0,0.37
Albania,15.7070036417042,101.375510948905,8575.17113446213,32.2,2658000.0,64.0,334863.0,331258.0,3605.0,0.99
Algeria,25.5526558310447,19.0941790060296,5364.02795022731,18.9,591000.0,74.0,272027.0,265146.0,6881.0,0.81
American Samoa,6.71514739512663,241.71,20473.30811712618,32.90984848484849,899.999976158142,35.0,8359.0,8325.0,34.0,0.97
Andorra,9.08028059086901,169.585106382979,46812.4484486309,32.90984848484849,5207000.0,79.0,48015.0,47856.0,159.0,1.0
Angola,25.1452381976267,28.5834835966953,2308.15976731274,79.2,10000.0,37.0,107423.0,105486.0,1937.0,0.72
Antigua and Barbuda,19.6982695582914,211.0,21787.1017315914,33.0,384500.0,76.0,9106.0,8960.0,146.0,0.99
Argentina,14.9081737974407,16.5922716858687,14187.4827252965,36.1,10000.0,79.0,10131586.0,10000729.0,130857.0,0.99
Armenia,30.5796334750125,104.292237442922,8053.01066312345,7.8,375000.0,68.0,451831.0,443054.0,8777.0,1.0
Aruba,23.410356664507074,596.166666666667,33984.7906198041,32.90984848484849,10000.0,35.0,44224.0,43932.0,292.0,0.98
Australia,8.25171746070811,3.38199835673854,64820.9117890026,12.9,1828000.0,87.0,11846355.0,11821189.0,25166.0,1.0
Austria,10.9335136815146,109.571631119729,56033.573792065,4.9,15091000.0,85.0,6082347.0,6059813.0,22534.0,0.85
Azerbaijan,21.7269999756599,122.707271627344,7125.90858368611,12.2,796000.0,66.0,835371.0,825018.0,10353.0,1.0
Bahrain,58.4950629834781,1929.99113924051,29218.8605634137,32.90984848484849,1909000.0,76.0,696614.0,695078.0,1536.0,0.98
Bangladesh,42.3813762359965,1301.25909963893,2551.01772674142,30.5,10000.0,52.0,2050060.0,2020566.0,29494.0,0.75
Barbados,23.7309657842996,656.553488372093,23804.0249914995,31.1,10000.0,77.0,110615.0,110022.0,593.0,1.0
Belarus,14.6089903841381,45.4607172767131,7829.05313660622,32.90984848484849,3598000.0,79.0,994037.0,986919.0,7118.0,1.0
Belgium,11.2160664677018,383.033055683085,54700.9093236712,7.3,2584000.0,86.0,4861717.0,4827378.0,34339.0,0.85
Belize,28.6518070195516,17.6559842174485,7459.99815132837,45.5,487000.0,68.0,71409.0,70721.0,688.0,0.81
