Country,Impact_Day_0,Impact_Day_30,Impact_Day_90,Impact_Day_180,Impact_Day_365
Afghanistan,82.05392159280116,80.71611579404511,78.10558327289174,74.34723435490059,67.18006901867577
Albania,46.19574341282439,45.44256876600842,43.97285850503517,41.856936207829364,37.82187579337893
Algeria,46.63910372441024,45.87870053830859,44.394884839234194,42.258655130572805,38.1848685151685
American Samoa,48.033135514073486,47.250004056419904,45.721837456720706,43.52175634685114,39.32620521213414
Andorra,37.605674085288754,36.99255178862276,35.79613322295419,34.07366534128292,30.788921863853606
Angola,58.043702547680475,57.09735896845572,55.25070776388775,52.59210860821481,47.52216429829681
Antigua and Barbuda,40.582814657500066,39.92115310952344,38.63001728801947,36.771186234045416,33.22639840655919
Argentina,44.27556186887294,43.553693830617505,42.145073841378974,40.11710239512542,36.24976411185312
Armenia,48.81471446411443,48.018840156012594,46.46580774579118,44.22992765953889,39.96610793449106
Aruba,52.77751233407529,51.91702863416351,50.237920437270645,47.82053071933133,43.21057241885994
Australia,39.142885782138244,38.50470081104986,37.25937609868378,35.46649868867518,32.04748435405547
Austria,40.130966533064125,39.47667190953539,38.199911564554235,36.36177669275656,32.856456451362874
Azerbaijan,47.900877014977155,47.11990189773475,45.595943081239426,43.40191986083236,39.21792111156804
Bahrain,50.25591277450598,49.43654119266788,47.837657286434144,45.535765411770925,41.14606131249265
Bangladesh,59.17119850445758,58.20647224955115,56.323949939672175,53.613707631217075,48.445279912081304
Barbados,42.25648024741443,41.567531282969426,40.22314805576938,38.28765742067074,34.59667989539048
Belarus,42.61871874609908,41.92386385108225,40.56795606341179,38.61587367202463,34.8932556942124
Belgium,40.18541281672426,39.53023050187514,38.25173795700163,36.41110926007883,32.901033298186235
Belize,46.676430363138465,45.91541860412806,44.430415363953685,42.29247596817981,38.21542898220433
Benin,64.09889980599657,63.0538323894763,61.01453604305541,58.07858824124522,52.47974050963367
Bermuda,48.886484047319094,48.08943960910376,46.53412386095836,44.29495648349383,40.024867899396305
Bhutan,44.71072137834003,43.981758506542846,42.559293986423874,40.51139075336706,36.60604258474816
Bolivia,50.2799587070162,49.46019508068682,47.86054615691826,45.55755289669445,41.1657484569252
Bosnia and Herzegovina,48.877646409322125,48.0807460598125,46.52571147972041,44.28694889615918,40.01763225338362
Botswana,49.213181759162644,48.41081084678422,46.84510126267341,44.590970017937416,40.29234536304283
Brazil,44.98412058456142,44.25070021656712,42.819537543998585,40.75911169665429,36.829882922748716
British Virgin Islands,51.81614061105235,50.9713311000258,49.32280879225502,46.949453171710104,42.423467824081484
Bulgaria,45.253948554144486,44.51612891533695,43.07638170864695,41.00359682180959,37.05079937948696
Burkina Faso,69.82966660060067,68.69116485577143,66.46954507132278,63.27110864296474,57.171695523094186
Burundi,102.09527742711475,100.43071768985553,97.18257260664672,92.50626137128138,83.58854337360714
Cabo Verde,48.99639631316101,48.197559867156855,46.638747277679755,44.394545544301664,40.114856451581566
Cambodia,52.30032883738551,51.44762512941744,49.783698449903454,47.38816536043057,42.81988761525873
Cameroon,60.566907850524004,59.579425973213425,57.65249939151835,54.87832884406145,49.587990076064244
Canada,38.19462922442999,37.57190461278555,36.35674853263402,34.607304500804794,31.27111754845186
Cayman Islands,51.18071167340514,50.34626218540956,48.717955948661455,46.373705136441465,41.903222611434046
Central African Republic,75.11663584012774,73.89193543508597,71.50211156154313,68.06151394533308,61.50029983007231
Chad,73.70680861615041,72.50509401116388,70.16012356748713,66.78410083714401,60.34603092527551
Chile,44.48525023311385,43.75996343918937,42.34467224784943,40.307096360740864,36.42144242421977
China,48.004092823497615,47.221434877397286,45.69419226629947,43.49544141051871,39.30242706820754
Colombia,44.62001119608688,43.892527261621005,42.472948671585264,40.42920027365033,36.531775368920194
Comoros,52.51466036230862,51.6584621966555,49.987716593618316,47.582366390725994,42.995367426067375
Costa Rica,41.537779767158106,40.860548483616,39.5390305983796,37.636458891711165,34.008257709952716
Croatia,42.5075145506659,41.81447272703687,40.46210288323347,38.51511402253282,34.80220939953996
Cuba,42.21765882473798,41.52934280413484,40.18619467434935,38.252482192556236,34.56489560276703
Cyprus,39.74781956001056,39.099771758478596,37.83520117376876,36.01461573755751,32.54276224157518
Denmark,39.90698581013494,39.256342964658096,37.98670853090663,36.158832738642644,32.673076545404115
Djibouti,55.04758015843418,54.150085309755276,52.39875526452564,49.87738871298921,45.069146758235384
Dominica,48.20792620024418,47.421944958095374,45.88821742039607,43.68013030211773,39.469311722253686
Dominican Republic,43.503733754950574,42.79444958967043,41.41038518964717,39.41776609829056,35.6178446988947
Ecuador,44.90965726140584,44.177450942217234,42.74865730848264,40.69164213480975,36.768917510104856
El Salvador,44.076033656257565,43.357418722724866,41.955146691972764,39.93631431704493,36.08640422807823
Equatorial Guinea,53.048741322144046,52.183835509236495,50.496098205040916,48.06628527619287,43.432635932518046
Eritrea,51.29021380161943,50.45397899271221,48.822188963096075,46.47292258066198,41.99287537133057
Estonia,39.33883239714657,38.697452715644395,37.44589399275256,35.64404156078029,32.20791187372432
Eswatini,49.82843745933164,49.01603542805693,47.430751581279104,45.148439531163774,40.796074125777714
Ethiopia,63.65276397271957,62.614970347545345,60.58986774200867,57.6743544799953,52.114475382879725
European Union,56.814524597450784,55.888221515469795,54.080676412731826,51.478377791263576,46.515798509438405
Faroe Islands,51.0683616633558,50.23574392809082,48.61101208912033,46.2719072897966,41.81123820309803
Fiji,46.58923737450869,45.82964720856216,44.34741799951288,42.21347233942051,38.144041400960354
Finland,38.07342436262454,37.45267587306926,36.24137590640168,34.497483469820786,31.171883400669174
France,41.40650329612437,40.73141234202393,39.4140709969241,37.517512199490106,33.900777625961844
French Polynesia,53.584163671406756,52.710528341253436,51.00575665980726,48.55141956480167,43.87100267574469
Gabon,51.39393436167349,50.556008494447575,48.92091861163885,46.56690147449265,42.0777945835733
Georgia,46.6383915872112,45.878000011782824,44.39420696924064,42.25800987888706,38.18428546654324
Germany,40.725472362408716,40.061484925539034,38.765810471745134,36.900445209283795,33.34319665673142
Ghana,60.88265273449255,59.89002295774583,57.953051002569666,55.16441826464108,49.846500122696334
Gibraltar,52.2886468973434,51.43613365153516,49.77257863109363,47.37758061423963,42.81032325169064
Greece,43.56714595490556,42.856827918152064,41.470746069029396,39.475222483061664,35.66976221711818
Greenland,47.71860748488537,46.94060408708744,45.4224441468272,43.23676949133825,39.06869144193282
Grenada,44.02182945268277,43.30409826360069,41.903550731001374,39.88720109310672,36.04202557966545
Guam,50.44281218015729,49.62039339345914,48.015563312232594,45.705110808590675,41.29908160363137
Guatemala,50.60701662526488,49.78192065197306,48.17186643232935,45.8538928061546,41.433520832633064
Guinea,62.149379396348024,61.136096928775885,59.15882426545568,56.312171134515275,50.88360819650123
Guinea-Bissau,67.447994298521,66.34832330004257,64.20247604271533,61.11312831293225,55.22174716562752
Guyana,43.43963304735472,42.73139397896527,41.34936893280298,39.35968587205112,35.565363478291914
Haiti,53.62123787676251,52.74699808937002,51.04104689795164,48.58501167814129,43.90135646781537
Honduras,49.86564288778252,49.05263425980944,47.466166728217424,45.1821505428329,40.82653535423189
Hungary,43.06520987785392,42.363075398710464,40.992962566390986,39.02042936132728,35.25881171475668
Iceland,34.30140915670918,33.742159541522284,32.6508656412825,31.07974434095699,28.083618550508486
India,59.775371238506,58.80079456120207,56.899050591468075,54.16113511520803,48.93993470961795
Indonesia,52.77840986908582,51.91791153577787,50.23877478395079,47.821343955852804,43.21130725837502
Iraq,54.21192883838499,53.32805843519265,51.60331450437396,49.12022362782733,44.3849733236609
Isle of Man,52.363816608844374,51.510077797286385,49.844131264377566,47.44569021886143,42.87186700619649
Israel,41.267998820626936,40.595166041235,39.28223119408911,37.392016373097896,33.787379752433154
Italy,42.798099512385754,42.10031999628239,40.73870523793983,38.77840659685009,35.040120244082
Jamaica,44.09762505145435,43.378658092166674,41.97569913459567,39.955877800271374,36.1040817673277
Japan,42.10942581454614,41.4228744231751,40.08316970946874,38.15441466796427,34.476281908824774
Jordan,50.71393252392188,49.88709339556293,48.27363766353499,45.9507669252633,41.52105616685652
Kazakhstan,43.634562130385916,42.92314494140743,41.5349182573381,39.53630678105076,35.724957913238846
Kenya,55.20699678992243,54.306902815084975,52.550500954970275,50.021832579062334,45.19966605698691
Kiribati,49.48818233901204,48.681327821667004,47.10686913765826,44.84014193027159,40.51749679487981
Kosovo,55.96800179361153,55.055500405611426,53.27488729181954,50.71136229630487,45.8227242567534
Kuwait,49.055630559585666,48.25582835939435,46.69513124174777,44.448216378251864,40.16335335076483
Latvia,42.27933277048004,41.590011218871865,40.24490094226948,38.30836358382515,34.615389958809715
Lebanon,44.682617080710386,43.95411242092317,42.5325420345826,40.48592607402339,36.58303273198511
Lesotho,59.22713530317495,58.26149705561497,56.37719512534313,53.664390721099615,48.491077089419946
Liberia,66.55395839901189,65.46886374725086,63.35146010048413,60.30306225816943,54.489772480343674
Libya,51.10360233079273,50.270410032260884,48.64455701703672,46.30383807518622,41.84009082128764
Liechtenstein,52.13465743572347,51.284654831584795,49.625998961478444,47.238054186142065,42.68424734381248
Lithuania,41.92906865858764,41.245457807344415,39.91149112799294,37.99099705816161,34.32861795870386
Luxembourg,37.7651942914995,37.14947117999437,35.94797750422734,34.21820305410971,30.919525962415683
Madagascar,71.31358001686958,70.15088457191486,67.8820543171249,64.61564960310582,58.386621071898546
Malawi,67.3284891771741,66.23076658824412,64.08872136742733,61.00484737899371,55.1239046476305
Malaysia,44.61849066213633,43.89103151843118,42.471501303942276,40.42782255163813,36.530530461013775
Maldives,44.20268124265028,43.48200144893557,42.0757001452787,40.05106687978957,36.19009450186105
Mali,69.85476569406163,68.71585473402214,66.49343642588981,63.29385037361471,57.192244922785044
Malta,37.81989483550871,37.20327988722662,36.000045922314484,34.26776600108226,30.964310980006125
Marshall Islands,43.0300023966373,42.328441939693114,40.959449227812975,38.98852864523418,35.22998626714622
Mauritania,66.32929654117386,65.24786477267716,63.137608707339375,60.09950114285576,54.30583490828805
Mauritius,43.22814789081902,42.52335687297087,41.1480601935723,39.16806387287878,35.39221407681662
Mexico,45.99753724240231,45.247594145754725,43.78418978270489,41.677346002792156,37.65959830620456
Moldova,45.32652734366038,44.58752438145286,43.14546809206822,41.06935884961506,37.1102218664848
Monaco,35.006230103343526,34.435489098943435,33.32177143190418,31.718366933033856,28.66067713493156
Mongolia,49.03684185133487,48.23734598193629,46.67724662406727,44.431192347365446,40.147970457509295
Montenegro,43.92480939329138,43.20866001767452,41.81119916290033,39.79929337397912,35.962592273376266
Morocco,48.651335147280605,47.858124572894525,46.310290049764916,44.08189329236181,39.83234426338233
Mozambique,67.1023861604099,66.00834995137588,63.87349816223104,60.799980461612975,54.93878715444195
Myanmar,60.94599324196358,59.95233076261659,58.01334363922604,55.22180969044613,49.89835894407843
Namibia,48.603439045834754,47.811009368705115,46.26469865245802,44.038495699538004,39.79313025217608
Nauru,39.53616814770126,38.89157110734202,37.633734178797006,35.822843097724466,32.36947672138517
Nepal,62.00016988983249,60.9893201316199,59.016794545120185,56.17697571748279,50.761445784865366
Netherlands,40.14455883225596,39.49004260010299,38.212849818275565,36.37409237290713,32.867584884716265
New Caledonia,53.078800219311944,52.21340432663545,50.524710703386695,48.09352097472879,43.457246076033016
New Zealand,38.02102378326215,37.40112963189776,36.19149678136427,34.45000446968814,31.12898143486608
Nicaragua,45.42386959720697,44.683279568485986,43.238126350720194,41.157558501704536,37.18991896303731
Niger,80.52822472082796,79.2152938589774,76.65330114219164,72.96483433436237,65.93093406971643
Nigeria,66.46065845368051,65.37708496270577,63.26264963892447,60.21852525169612,54.413384945840384
North Macedonia,46.28974758453483,45.53504029523718,44.062339306427766,41.94211129817029,37.89883989967589
Northern Mariana Islands,48.83107433610228,48.0349332969145,46.4813803999566,44.24475097587876,39.97950226480393
